	observed_otus
1788.mck592Post.7Buma.3	131
1788.mck241Pre.5Bubo.6	73
1788.mck747Post.10Bubo.4	44
1788.mck498Post.5Rapi.7	98
1788.mck353Post.2Osse.2	104
1788.mck293Post.1Bubo.5	58
1788.mck276Post.1Buma.11	132
1788.mck33Pre.1Rapi.12	66
1788.mck98Pre.3Raca.2	90
1788.mck263Post.1Raca.8	100
1788.mck145Pre.2Osse.6	79
1788.mck743Post.9Control.Mold	110
1788.mck472Post.5Raca.2	58
1788.mck83Pre.2Bubo.7	51
1788.mck548Post.6Rapi.4	90
1788.mck761Post.10Raca.9	193
1788.mck446Post.4Rapi.8	90
1788.mck639Post.8Raca.4	142
1788.mck382Post.3Buma.11	101
1788.mck124Pre.3Rapi.7	73
1788.mck470Post.4Osse.10	101
1788.mck412Post.3Osse.8	178
1788.mck355Post.2Osse.4	73
1788.mck749Post.10Bubo.6	76
1788.mck252Pre.4Osse.7	117
1788.mck515Post.5Osse.2	129
1788.mck594Post.7Buma.5	160
1788.mck741Post.9Control.SterileWater	26
1788.mck499Post.5Rapi.8	85
1788.mck765Post.10Buma.3	145
1788.mck549Post.6Rapi.5	112
1788.mck318Post.2Raca.10	122
1788.mck473Post.5Raca.3	47
1788.mck413Post.3Osse.9	115
1788.mck447Post.4Rapi.9	184
1788.mck539Post.6Buma.6	128
1788.mck174Pre.4Rapi.4	81
1788.mck31Pre.1Rapi.10	94
1788.mck627Post.7Osse.5	129
1788.mck21Pre.1Buma.11	122
1788.mck512Post.5Bubo.9	95
1788.mck40Pre.1Bubo.7	86
1788.mck139Pre.3Bubo.10	77
1788.mck653Post.8Buma.8	132
1788.mck300Post.1Osse.2	82
1788.mck213Pre.5Buma.1	117
1788.mck596Post.7Buma.7	133
1788.mck20Pre.1Buma.10	121
1788.mck357Post.2Osse.6	68
1788.mck709Post.9Rapi.1	80
1788.mck36Pre.1Bubo.3	69
1788.mck626Post.7Osse.4	99
1788.mck66Pre.2Rapi.2	88
1788.mck9Pre.1Raca.9	126
1788.mck79Pre.2Bubo.3	48
1788.mck56Pre.2Buma.3	141
1788.mck14Pre.1Buma.4	125
1788.mck435Post.4Buma.8	103
1788.mck301Post.1Osse.3	81
1788.mck471Post.5Raca.1	53
1788.mck450Post.4Rapi.12	82
1788.mck530Post.6Raca.7	67
1788.mck312Post.2Raca.4	67
1788.mck203Pre.5Raca.1	109
1788.mck283Post.1Rapi.7	82
1788.mck580Post.7Raca.1	143
1788.mck587Post.7Raca.8	135
1788.mck700Post.9Buma.3	114
1788.mck562Post.6Bubo.6	57
1788.mck82Pre.2Bubo.6	59
1788.mck359Post.2Osse.8	69
1788.mck165Pre.4Buma.6	137
1788.mck598Post.7Buma.9	129
1788.mck788Post.11Bubo.5	100
1788.mck778Post.10Rapi.5	108
1788.mck99Pre.3Raca.3	123
1788.mck46Pre.2Raca.3	193
1788.mck397Post.3Bubo.3	68
1788.mck495Post.5Rapi.4	70
1788.mck424Post.4Raca.7	99
1788.mck282Post.1Rapi.6	72
1788.mck97Pre.3Raca.1	84
1788.mck508Post.5Bubo.5	44
1788.mck313Post.2Raca.5	89
1788.mck270Post.1Buma.5	145
1788.mck660Post.8Rapi.4	52
1788.mck418Post.4Raca.1	77
1788.mck154Pre.4Raca.5	189
1788.mck563Post.6Bubo.7	66
1788.mck735Post.9Osse.6	120
1788.mck649Post.8Buma.4	141
1788.mck396Post.3Bubo.2	63
1788.mck642Post.8Raca.7	88
1788.mck721Post.9Bubo.1	47
1788.mck134Pre.3Bubo.5	68
1788.mck76Pre.2Rapi.12	101
1788.mck705Post.9Buma.8	102
1788.mck560Post.6Bubo.4	36
1788.mck754Post.10Raca.2	130
1788.mck281Post.1Rapi.5	71
1788.mck582Post.7Raca.3	80
1788.mck439Post.4Rapi.1	67
1788.mck540Post.6Buma.7	110
1788.mck722Post.9Bubo.2	48
1788.mck75Pre.2Rapi.11	100
1788.mck395Post.3Bubo.1	71
