SampleID	Bd_load	Bd_load_sd	Bd_load2	Bd_load_sd2	PABD	species	indiv	prepost	Bd_exposure	indivID	time	orig_contam	observed_otus	chao1	shannon	faith_pd	dist_braycurtis	dist_unweighted_unifrac	dist_weighted_unifrac	disper_braycurtis	disper_unweighted_unifrac	disper_weighted_unifrac	inhibRich	percInhib	NMDS1_braycurtis	NMDS1_unweighted_unifrac	NMDS1_weighted_unifrac	NMDS2_braycurtis	NMDS2_unweighted_unifrac	NMDS2_weighted_unifrac	NMDS_stress_braycurtis	NMDS_stress_unweighted_unifrac	NMDS_stress_weighted_unifrac	mass_g
1788.mck669Post.8Bubo.1	0	0	0	0	0	Anbo	1	Post	Bd-exposed	Anbo_1	13	0	66	90.4285714285714	2.49690244389251	11.51548933811	0.4457	0.455321622427033	0.370543939133283	0.400108504419291	0.397357924039709	0.182004238801203	8	0.5128	0.605313157799949	0.21543599490341	-0.139664967054746	-0.00187498184430873	-0.169108861550202	0.251461484666349	28.098783726779	22.8164934510084	18.491209331149	NA
1788.mck684Post.8Osse.7	0	0	0	0	0	Osse	7	Post	Control	Osse_7	13	0	178	193.8125	5.45791835531712	23.42924555774	NA	NA	NA	0.570058969318087	0.523275373847402	0.407346358172138	12	0.3749	-0.0576229109238509	-0.353593568546763	0.388141155715176	0.537855380804535	0.116949741070817	-0.198097412329424	28.098783726779	22.8164934510084	18.491209331149	12
1788.mck210Pre.5Raca.8	0	0	0	0	0	Raca	8	Pre	Control	Raca_8	5	0	115	142	4.34421779646436	17.99855991599	0.5087	0.55071930168612	0.323227561576651	0.376663018664734	0.371249005514602	0.173246742734351	8	0.0386	0.0785283524934491	-0.220307277579766	-0.118558729611866	-0.559659259834459	0.0815458766412957	-0.323011210490145	28.098783726779	22.8164934510084	18.491209331149	95
1788.mck750Post.10Bubo.8	0	0	0	0	0	Anbo	8	Post	Control	Anbo_8	15	0	90	101.875	3.78593274895597	14.35158040054	0.6559	0.50376682754194	0.501331806877973	0.483897002373697	0.420225586076961	0.326819989790165	9	0.0978	-0.0664528157630308	0.00356798473420015	0.382395139336573	0.24490916447739	-0.0478636373778549	0.0315520713906775	28.098783726779	22.8164934510084	18.491209331149	NA
1788.mck521Post.5Osse.8	0	0	0	0	0	Osse	8	Post	Control	Osse_8	10	0	150	172.95652173913	4.61994252346107	22.59487603089	0.2636	0.49904935323621	0.183798166982067	0.502034369365974	0.430369202883757	0.244351113040792	12	0.1753	0.129585423659611	-0.235587648171537	0.156895539359399	0.362231742029171	0.145512865025977	-0.132408254633158	28.098783726779	22.8164934510084	18.491209331149	20
1788.mck135Pre.3Bubo.6	0	0	0	0	0	Anbo	6	Pre	Bd-exposed	Anbo_6	3	0	57	92	3.33570494626828	9.46236172466	0.2636	0.414178355942319	0.0759250526569081	0.26197967974635	0.411604778449032	0.110410550526301	12	0.524	0.423630438388368	0.44025346499006	0.082246120301385	-0.180202168791172	-0.0481787758805784	0.112935593781359	28.098783726779	22.8164934510084	18.491209331149	NA
1788.mck425Post.4Raca.8	0	0	0	0	0	Raca	8	Post	Control	Raca_8	9	0	177	199.037037037037	4.37032485409602	27.62902048297	0.7569	0.658807240333712	0.481304639412386	0.475914444832261	0.450990896209101	0.208512146372984	15	0.409	-0.161860019142094	-0.39556551058659	-0.256197848850102	-0.323204402229474	0.229337709490679	-0.133933452189265	28.098783726779	22.8164934510084	18.491209331149	95
1788.mck566Post.6Bubo.10	0	0	0	0	0	Anbo	10	Post	Control	Anbo_10	11	0	70	71.875	3.47473289914617	11.40416609077	0.2625	0.386841183577813	0.123105674686516	0.325891148698458	0.326304609860456	0.141128487308109	10	0.672	0.328926370673598	0.107256999745268	0.136771485359492	0.00935347430722907	-0.0442387850239341	0.0767109388617277	28.098783726779	22.8164934510084	18.491209331149	NA
1788.mck673Post.8Bubo.5	1.86745438667672	1.15426884441683	1.66666666666667	0.74535599249993	1	Anbo	5	Post	Bd-exposed	Anbo_5	13	0	135	152.55	3.95622007741515	22.4882926782	0.5892	0.577961856445608	0.301078593042361	0.625123877303777	0.497389275165227	0.252954929698312	9	0.504	-0.326448856045694	-0.164790965011136	-0.183019263367616	-0.0752884943025351	0.250428584539001	0.00358768951200455	28.098783726779	22.8164934510084	18.491209331149	16
1788.mck691Post.9Raca.4	0	0	0	0	0	Raca	4	Post	Bd-exposed	Raca_4	14	0	155	176.12	4.38099609703148	25.23712906778	0.4319	0.473630469716305	0.318040158468174	0.321600728993093	0.420565141100952	0.159152802932909	11	0.3476	-0.253619993488896	-0.423239051223012	-0.264836828833412	-0.355965417185779	0.0390075911789002	-0.306719932480917	28.098783726779	22.8164934510084	18.491209331149	96
